Getting list of Win32_PNPEntity devices failed. Error: 0x80041003
S24MAME crkdown-io-write cpu=:maincpu time=16.707687100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.725072100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.742455100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.759840100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.777223100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.794608100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.811991100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.829376100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.846759100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.864144100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.881527100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.898912100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.916295100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.933680100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.951063100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.968448100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.985831100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.003216100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.020599100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.037984100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.055367100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.072752100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.090135100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.107520100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.124903100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.142288100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.159671100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.177056100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.194439100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.211824100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.229207100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.246592100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.263975100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.281360100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.298743100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.316128100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.333511100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.350896100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.368279100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.385664100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.403047100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.420432100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.437815100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.455200100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.472583100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.489968100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.507351100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.524736100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.542119100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.559504100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.576887100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.594272100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.611655100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.629040100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.646423100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.663808100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.681191100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.698576100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.715959100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.733344100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.750727100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.768112100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.785495100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.802880100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.820263100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.837648100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.855031100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.872416100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.889799100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.907184100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.924567100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.941952100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.959335100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.976720100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.994103100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
Average speed: 2042.69% (17 seconds)
